start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
9*10*11|1,1*3*7|1,3,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+3)(-9)}~~>[3*12|1]~~{(+1  7)}~~>[1*3*7|1],[9*10*11|1]~>[9*11*12|1]~>[3*12|1]~>[1*3*7|1],{(+12)}~{(+3)(-9)}~{(+1  7)}~,34.1,3,4,1,0
9*10*11|1,1*4*6*7|1,4,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+1  4)(-9)}~~>[1*4*12|1]~~{(+6  7)}~~>[1*4*6*7|1],[9*10*11|1]~>[9*11*12|1]~>[1*4*12|1]~>[1*4*6*7|1],{(+12)}~{(+1  4)(-9)}~{(+6  7)}~,35.1,3,5,1,0
9*10*11|1,5*8|1,2,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6  8)(-9)}~~>[6*8|1]~~{(+5)}~~>[5*8|1],[9*10*11|1]~>[9*11*12|1]~>[6*8|1]~>[5*8|1],{(+12)}~{(+6  8)(-9)}~{(+5)}~,34.1,3,4,1,0
9*10*11|1,2*5*8|1,3,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6  8)(-9)}~~>[6*8|1]~~{(+2  5)}~~>[2*5*8|1],[9*10*11|1]~>[9*11*12|1]~>[6*8|1]~>[2*5*8|1],{(+12)}~{(+6  8)(-9)}~{(+2  5)}~,35.1,3,5,1,0
9*10*11|1,3*4*6*8|1,4,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+3  6)(-9)}~~>[3*6*12|1]~~{(+4  8)}~~>[3*4*6*8|1],[9*10*11|1]~>[9*11*12|1]~>[3*6*12|1]~>[3*4*6*8|1],{(+12)}~{(+3  6)(-9)}~{(+4  8)}~,35.1,3,5,1,0
9*10*11|1,3*5*6*8|1,4,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6  8)(-9)}~~>[6*8|1]~~{(+3  5)}~~>[3*5*6*8|1],[9*10*11|1]~>[9*11*12|1]~>[6*8|1]~>[3*5*6*8|1],{(+12)}~{(+6  8)(-9)}~{(+3  5)}~,35.1,3,5,1,0
9*10*11|1,1*9|1,1,2,0,[9*10*11|1]~~{(+1)}~~>[1*9*11|1]~~{(-11)}~~>[1*9|1],[9*10*11|1]~>[1*9*11|1]~>[1*9|1],{(+1)}~{(-11)}~,21.1,2,1,1,0
9*10*11|1,2*9|1,1,2,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+2)}~~>[2*9*11|1]~~{(-11)}~~>[2*9|1],[9*10*11|1]~>[9*11*12|1]~>[2*9*11|1]~>[2*9|1],{(+12)}~{(+2)}~{(-11)}~,32.1,3,2,1,0
9*10*11|1,1*5*9|1,2,2,0,[9*10*11|1]~~{(+1  5)}~~>[1*5*9|1],[9*10*11|1]~>[1*5*9|1],{(+1  5)}~,12.0,1,2,0,0
9*10*11|1,3*5*9|1,2,2,0,[9*10*11|1]~~{(+3  5)}~~>[3*5*9|1],[9*10*11|1]~>[3*5*9|1],{(+3  5)}~,12.0,1,2,0,0
